ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-147-F,ALICANTE,ALICANTE/ALACANT,ANABEL ALBALA CANO,"AVDA Deportista Miriam Blasco, 4, 03540",17,5,21
A-152-F,ALICANTE,ALICANTE/ALACANT,BEATRIZ PEÑA GONZALEZ,"AVDA DE LA CONSTITUCION, 9, 03002",17,2,21
A-153-F,ALICANTE,ALICANTE/ALACANT,"JOSE CARLOS ROVIRA DE MIGUEL, JUAN MANUEL ROVIRA DE MIGUEL","AVDA Aguilera, 19, 03007",19,2,21
A-157-F,ALICANTE,ALICANTE/ALACANT,FRANCISCO JOSE BARBERA MOLINA,"AVDA Jaime I, 8, 03009",19,5,21
A-165-F,ALICANTE,ALICANTE/ALACANT,MARIA LAHOZ BENEYTEZ,"AVDA Alfonso el Sabio, 18, 03004",17,2,21
A-166-F,ALICANTE,ALICANTE/ALACANT,MARTA  FRANCO GIMENEZ,"AVDA Deportista Isabel Fernandez, 2, 03005",19,4,21
A-172-F,ALICANTE,ALICANTE/ALACANT,ANA MARIA CREMADES SIRVENT,"AVDA Federico Soto, 24, 03001",17,1,21
A-177-F,ALICANTE,ALICANTE/ALACANT,MARIA TERESA ORTIN ROMERO,"PLAZA Calvo Sotelo, 1, 03001",17,1,21
A-187-F,ALICANTE,ALICANTE/ALACANT,MERCEDES AZPETEGUIA SANJURJO,"CALLE Teatro, 9, 03001",17,1,21
A-193-F,ALICANTE,ALICANTE/ALACANT,PASCUAL MARTI ROSILLO,"AVDA Goleta, 7, 03540",17,5,21
A-194-F,ALICANTE,ALICANTE/ALACANT,"JOSE MARTINEZ TAMAYO, MARIA JOSE MARTINEZ LUCAS","RBLA Mendez NuÃ±ez, 39, 03002",17,2,21
A-195-F,ALICANTE,ALICANTE/ALACANT,CARLOS VAN DER HOFSTADT POYATOS,"CALLE Valencia, 1, 03012",17,2,21
A-196-F,ALICANTE,ALICANTE/ALACANT,JUAN MIGUEL POL YANGUAS,"CALLE Padre Espla, 37, 03013",17,3,21
A-207-F,ALICANTE,ALICANTE/ALACANT,CRISTINA SMETS SOLER,"CALLE Peru, 14, 03008",19,2,21
A-212-F,ALICANTE,ALICANTE/ALACANT,FRANCISCO PLANA ESPASA,"CALLE San Carlos, 67, 03012",17,3,21
A-213-F,ALICANTE,ALICANTE/ALACANT,Mª TERESA TENDERO RIUS,"CALLE Maestro Alonso, 156, 03012",19,6,21
A-214-F,ALICANTE,ALICANTE/ALACANT,SERGIO RIGUAL BONASTRE,"CALLE Italia, 23, 03003",17,1,21
A-217-F,ALICANTE,ALICANTE/ALACANT,JOSEFINA RODRIGUEZ CLAVEL,"AVDA ESTACION, 20, 03005",17,1,21
A-219-F,ALICANTE,ALICANTE/ALACANT,Mª JOSE SAMPER GILABERT,"CALLE Rafael Altamira, 1, 03002",17,2,21
A-21-F,ALICANTE,ALICANTE/ALACANT,MARTA LOPEZ-MELIDA BOLUFER,"AVDA Goleta, 25, 03540",17,5,21
